id,monthly_rent,sq_meters,bedrooms,bathrooms,city,neighborhood,floor,elevator,inserted_at,parking,month,price_per_square_meter
216872,931,29.0,1,1,Berlin,Lichtenberg,1.0,False,2023-11-11 04:16:06,False,2023-11,32.1
180370,1790,81.0,2,1,Berlin,Neukolln,3.0,False,2023-08-23 04:15:38,False,2023-08,22.1
180409,2490,52.0,1,1,Berlin,Prenzlauer-Berg,5.0,False,2023-08-23 04:22:55,False,2023-08,47.88
180487,870,28.0,1,1,Berlin,Mitte,4.0,False,2023-08-23 04:36:06,False,2023-08,31.07
180373,729,68.0,2,1,Berlin,Tempelhof,2.0,False,2023-08-23 04:16:10,False,2023-08,10.72
216996,858,66.0,1,1,Berlin,Lichtenberg,1.0,False,2023-11-11 04:32:10,False,2023-11,13.0
180405,615,39.0,1,1,Berlin,Pankow,1.0,False,2023-08-23 04:22:17,False,2023-08,15.77
180801,850,25.0,1,1,Berlin,Mitte,5.0,False,2023-08-24 04:15:41,False,2023-08,34.0
180819,1010,42.0,1,1,Berlin,Mitte,1.0,False,2023-08-24 04:18:02,False,2023-08,24.05
217475,1600,90.0,3,1,Berlin,Wedding,2.0,False,2023-11-12 04:11:48,True,2023-11,17.78
180923,2600,62.0,1,1,Berlin,Mitte,5.0,False,2023-08-24 04:35:41,False,2023-08,41.94
180932,3200,110.0,2,2,Berlin,Mitte,1.0,False,2023-08-24 04:37:45,True,2023-08,29.09
180936,1095,61.0,2,1,Berlin,Spandau,1.0,False,2023-08-24 04:38:29,False,2023-08,17.95
180940,1260,90.0,4,1,Berlin,Spandau,1.0,False,2023-08-24 04:39:05,False,2023-08,14.0
181191,1960,61.0,3,1,Berlin,Lichtenberg,2.0,False,2023-08-25 04:24:35,False,2023-08,32.13
181292,1300,39.0,1,1,Berlin,Pankow,4.0,False,2023-08-25 04:40:28,False,2023-08,33.33
217821,929,35.0,1,1,Berlin,Spandau,5.0,False,2023-11-13 04:14:07,True,2023-11,26.54
181144,824,60.0,2,1,Berlin,Neukolln,7.0,False,2023-08-25 04:17:32,False,2023-08,13.73
207467,1578,55.0,2,1,Berlin,Wedding,6.0,False,2023-10-25 04:18:21,False,2023-10,28.69
207432,1070,21.0,1,1,Berlin,Charlottenburg,2.0,False,2023-10-25 04:09:19,False,2023-10,50.95
207472,4600,128.0,2,2,Berlin,Schoneberg,8.0,False,2023-10-25 04:19:08,False,2023-10,35.94
207481,885,73.0,2,1,Berlin,Pankow,1.0,False,2023-10-25 04:22:15,False,2023-10,12.12
207436,1800,43.0,1,1,Berlin,Friedrichshain,1.0,False,2023-10-25 04:09:57,False,2023-10,41.86
